Name,Lstar,Mstar,Radius,Width,sblow,smin,smin_ep,smin_em,q,q_ep,q_em,Md,Md_ep,Md_em
HD27290,6.671431522442633,1.7198523026032069,80.6,71.1,3.99151837625194,0.6025867520312994,13.15453226871694,0.5611469170946478,2.8589995757751807,0.6852339147555004,0.2746683352081818,0.000290825884689394,0.00012318346762587744,4.822522801186798e-05
HD105211,6.789746278759164,1.7285121699893637,131.5,23.0,4.082760793007134,7.944612811691713,42.367867499744285,4.986750412621402,3.589458161034086,0.18257385341513643,1.2871484751081201,0.0007354858718851861,0.00013119640570266621,9.833223481853974e-05
HD38529,6.892076507926333,1.7359155643757098,108.1,54.3,4.162043693140055,2.226266601174862,3.9824385465218026,1.8287613245624939,3.5,0.0,0.0,0.00043498373582593773,0.0004260802688817604,0.00013920149594338368
HD121191,7.1977100135659455,1.757570158440951,55.0,54.0,4.400833762921357,1.7520026423779926,0.8125729744330199,1.1658797259454072,3.516813864557005,0.22312963460709145,0.16106328840409923,0.023029557715370685,0.005931264317704323,0.004891946212398093
HD10638,7.2756487625008575,1.762986814875804,160.0,400.0,4.4621969751436446,2.70712238983794,1.9273379745440438,0.5085982857825275,3.779235453776563,0.10253747191574591,0.1881674649790237,0.005630450991340264,0.0010633126771962976,0.0007982457755297901
HD32297,7.366226289359061,1.7692300280278992,122.3,62.0,4.53374726016703,1.212992266008556,0.666000269182071,0.9152306197689399,3.3319661310617166,0.1433705949084012,0.13442444186233926,0.06266227784341567,0.013307846304389456,0.010332973635888816
HD195627,7.876895563126951,1.8034389847162677,119.1,106.6,4.941792308051466,5.862660395772558,1.8251854679041086,2.2732660685606554,3.4091389499320446,0.15425833797871347,0.151955225052951,0.0011769324908046906,0.00012660341697821962,8.06484794948401e-05
HD84870,8.044239586260309,1.8143037538195554,260.0,260.0,5.0771844853079955,2.43718729806393,0.38903646269951686,0.37501900600305094,3.5584451531128054,0.07715116263572552,0.08256184365638841,0.006682957762789447,0.0005748156836261325,0.0005628033113091093
HD110058,8.308362815429255,1.8311279891482637,50.0,100.0,5.292515060072785,0.707369536790335,0.4867417122112485,0.5396746655412571,3.411386998146373,0.12029775072503535,0.10670377608048964,0.03235332647984482,0.006247808879129221,0.0032814630147909134
HD39060,8.391068097056625,1.836317548260945,105.0,92.0,5.360347910114772,1.0653401120586716,0.4562184160335676,0.4579862018846723,3.635785483308888,0.07991315013673139,0.09810877679397967,0.024379285783422563,0.004533386073337472,0.003478924932619868
HD30422,8.480359534415674,1.8418795184127992,103.0,54.6,5.433797277099708,2.7090825128208804,0.6904982312223127,0.821400366524472,3.5,0.0,0.0,0.0005885598821182233,7.734673755612062e-05,8.061093498146026e-05
HD95698,8.679820506766337,1.8541545317839645,147.3,59.5,5.598666772663828,6.394633644126415,3.835503973036749,2.666860992321847,3.5,0.0,0.0,0.0010927059273641941,0.00019906533050408895,0.0001253793967662813
HD131835,9.430116143021118,1.898599842293153,83.7,87.0,6.228427739755762,4.562776787242229,34.04170205604515,2.7117383465835787,3.33893028842878,0.2995917546540552,0.8639581803845475,0.02842083735209565,0.006633930469609577,0.006007540557882149
HD76582,9.882175430500691,1.9241706608403069,219.0,210.0,6.614912378450308,5.916811524393275,17.57755490224546,3.8530524414768,3.6482247466120397,0.2736064736753203,0.3939417474399791,0.002354145629081694,0.0015326972402519511,0.0008619968893495463
