Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD95698,-0.82,56.73,A9III/IV,1515,...,...,249,1.80E-05,51,4.00E-05,5.80E-05,1,Spitzer
HD98363$^{r}$,-0.05,137.21,A2V,17,...,...,295,2.80E-04,112,6.40E-04,9.20E-04,1,Spitzer
HD98673,-0.21,85.17,A7V,737,...,...,237,3.50E-05,78,2.30E-05,5.80E-05,1,Spitzer
HD98800,...,44.9,K5V,8,136,6.59E-02,...,...,...,...,6.59E-02," 5,61 ",IRAS
HD99211,...,25.24,A7V,200,...,...,499,2.10E-05,30,1.10E-06,2.21E-05,1,Spitzer
HD99945,-0.33,60.54,A2,300,61,6.66E-05,...,...,...,...,6.66E-05," 7,61 ",IRAS
HD101132,...,41.51,A9IV,300,216,1.50E-05,...,...,...,...,1.50E-05,1,Spitzer
HD101259,...,67.72,G6/8V,2520,500,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD102458,-0.4,113.76,G4V,17,...,...,481,1.40E-04,109,4.90E-05,1.89E-04,1,Spitzer
HD102647$^{r}$,...,11,A3V,45,...,...,499,1.30E-05,106,1.70E-05,3.00E-05,1,Spitzer
HD102870,-0.04,11,F9V,4400,38,8.80E-07,...,...,...,...,8.80E-07," 20,22 ",Herschel
HD102902,0.05,87.21,G3V,2320,500,6.90E-05,...,...,...,...,6.90E-05,1,Spitzer
HD103234,-0.76,100.89,F2IV/V,17,...,...,478,6.50E-05,149,7.70E-05,1.42E-04,1,Spitzer
HD103266,-0.96,82.48,A1V,760,...,...,475,4.60E-05,124,1.80E-05,6.40E-05,1,Spitzer
HD103703,-0.62,107.18,F3V,17,...,...,484,8.00E-04,100,8.10E-05,8.81E-04,1,Spitzer
HD104067$^{p}$,-0.15,20.35,K2V,2160,45,1.23E-04,...,...,...,...,1.23E-04,10,Spitzer
HD104231,-0.14,103.2,F5V,17,...,...,423,2.70E-04,136,8.50E-05,3.55E-04,1,Spitzer
HD104600,-0.76,103.78,B9V,17,...,...,292,4.80E-05,112,5.00E-05,9.80E-05,1,Spitzer
HD104860$^{r}$,-0.42,45.19,F9V,3140,...,...,210,2.40E-05,42,2.80E-04,3.04E-04,1,Spitzer
HD105211,-0.52,19.76,F2V,1380,...,...,268,9.00E-06,48,2.50E-05,3.40E-05,1,Spitzer
HD105452,-0.51,14.94,F1V,1000,21,6.90E-07,...,...,...,...,6.90E-07,20,Herschel
HD105613,-0.32,105.24,A3V,17,...,...,344,1.00E-04,115,2.20E-05,1.22E-04,1,Spitzer
HD105850,-1.25,61.21,A1V,348,...,...,499,4.20E-05,130,2.00E-05,6.20E-05,1,Spitzer
HD105857,-0.3,113.39,A2V,17,...,...,368,3.40E-05,173,1.10E-04,1.44E-04,1,Spitzer
HD105912,-0.73,48.05,F5V,770,...,...,499,3.90E-05,103,6.40E-05,1.03E-04,1,Spitzer
HD105994,-0.67,111.29,F3V,17,174,7.40E-05,...,...,...,...,7.40E-05,1,Spitzer
HD106036,-1.44,99.8,A2V,17,...,...,301,2.50E-04,112,1.80E-04,4.30E-04,1,Spitzer
HD106389,-0.44,146.02,F6IV,17,378,3.80E-04,...,...,...,...,3.80E-04,1,Spitzer
HD106591,-0.44,24.69,A2V,300,180,2.00E-06,...,...,...,...,2.00E-06,1,Spitzer
HD106797,-0.94,106.11,A0V,17,...,...,307,6.60E-05,136,1.40E-04,2.06E-04,1,Spitzer
HD106906$^{pr}$,-0.74,102.38,F5V,17,...,...,124,7.60E-04,81,4.60E-04,1.22E-03,1,Spitzer
HD107146$^{r}$,-0.36,27.47,G2V,100,...,...,106,7.80E-05,45,4.20E-04,4.98E-04,1,Spitzer
HD107301,-0.59,97.29,B9V,17,...,...,246,4.00E-05,127,6.10E-05,1.01E-04,1,Spitzer
HD107649,-0.26,108.37,F5V,17,...,...,499,1.80E-04,121,1.10E-04,2.90E-04,1,Spitzer
HD107947,-0.2,98.67,A0V,17,...,...,292,6.60E-05,100,3.60E-05,1.02E-04,1,Spitzer
HD108257,...,137.36,B3V,17,73,9.40E-07,...,...,...,...,9.40E-07,1,Spitzer
HD108857,...,103.28,F7V,17,...,...,362,3.20E-04,191,2.50E-04,5.70E-04,1,Spitzer
HD108874$^{p}$,0.18,59.78,G9V,1100,64,3.10E-05,...,...,...,...,3.10E-05,1,Spitzer
HD108904,-0.46,107.13,F6V,17,177,3.30E-04,...,...,...,...,3.30E-04,1,Spitzer
HD109085$^{gr}$,-0.54,18.24,F2V,300,156,1.05E-04,...,...,...,...,1.05E-04," 7,61 ",IRAS
HD109573$^{gr}$,-0.68,70.77,A0V,8,...,...,231,1.00E-04,97,4.30E-03,4.40E-03,1,Spitzer
HD109704,...,71.08,A3V,389,...,...,442,4.50E-05,121,3.10E-05,7.60E-05,1,Spitzer
HD109832,-0.57,107.3,A9V,17,...,...,243,1.20E-04,97,3.50E-04,4.70E-04,1,Spitzer
HD110058$^{gr}$,-0.77,130.08,A0V,17,...,...,499,2.40E-05,112,1.40E-03,1.42E-03,1,Spitzer
HD110379J,-0.43,12.02,F1/2V,1180,30,3.30E-07,...,...,...,...,3.30E-07,20,Herschel
HD110411$^{gr}$,...,38.92,A0V,86,...,...,445,2.20E-05,78,3.70E-05,5.90E-05,1,Spitzer
HD110634,-0.52,126.37,F2V,17,201,6.80E-05,...,...,...,...,6.80E-05,1,Spitzer
HD110897,-0.39,17.56,F9V,460,54,1.20E-05,...,...,...,...,1.20E-05,1,Spitzer
HD111102,-0.71,111.58,F0III,912,...,...,310,4.70E-05,75,5.40E-05,1.01E-04,1,Spitzer
HD111103,-0.28,129.36,F8,17,116,2.50E-04,...,...,...,...,2.50E-04,1,Spitzer
HD111170,-0.35,120.82,G9IV,17,479,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD111347,-0.2,70.02,F7V,1120,...,...,499,3.40E-05,124,4.50E-05,7.90E-05,1,Spitzer
HD111520$^{r}$,-0.47,108.05,F5/6V,17,...,...,115,8.20E-04,51,6.40E-04,1.46E-03,1,Spitzer
HD112383,-0.88,101.2,A2IV/V,17,...,...,438,2.00E-05,204,1.10E-04,1.30E-04,1,Spitzer
HD112429,-0.55,29.44,F3IV,1905,...,...,133,5.60E-06,72,8.20E-06,1.38E-05,1,Spitzer
HD112810$^{r}$,-0.41,133.66,F3/5IV/V,17,...,...,258,1.30E-04,57,5.90E-04,7.20E-04,1,Spitzer
HD113319,-0.39,31.75,G4V,3520,94,1.30E-05,...,...,...,...,1.30E-05,1,Spitzer
HD113337$^{p}$,-0.35,36.2,F6V,1450,...,...,316,1.50E-05,54,6.70E-05,8.20E-05,1,Spitzer
HD113457,-1.72,103.88,A0V,17,...,...,319,1.50E-04,142,1.00E-04,2.50E-04,1,Spitzer
HD113524,-0.31,120.99,F6/8,17,...,...,442,1.40E-04,81,7.40E-05,2.14E-04,1,Spitzer
HD113556,-0.43,100.48,F2V,17,...,...,268,8.90E-05,60,4.40E-04,5.29E-04,1,Spitzer
HD113766$^{r}$,-1.19,122.55,F3/5V,15,490,1.70E-02,...,...,...,...,1.70E-02,3,WISE
HD113902,0.14,97.09,B8/9V,17,...,...,298,3.30E-05,152,3.40E-06,3.64E-05,1,Spitzer
HD114082$^{pr}$,-0.56,95.06,F3V,17,...,...,499,1.20E-04,112,3.30E-03,3.42E-03,1,Spitzer
HD114576,...,110.62,A5V,600,64,3.04E-04,...,...,...,...,3.04E-04," 5,61 ",IRAS
HD115116,-1.29,90.19,A7V,100,55,2.10E-04,...,...,...,...,2.10E-04," 7,61 ",IRAS
HD115361,-0.26,95.91,F5V,17,...,...,265,1.20E-04,100,2.10E-04,3.30E-04,1,Spitzer
HD115600$^{r}$,-0.46,109.04,F2IV/V,17,...,...,499,5.50E-05,109,1.70E-03,1.76E-03,1,Spitzer
HD115617$^{pr}$,...,8.53,G6.5V,4580,...,...,133,1.00E-05,54,1.00E-05,2.00E-05,1,Spitzer
HD115820,...,114.25,A7/8V,17,137,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD115892,...,17.84,A1.5,45,207,1.40E-05,...,...,...,...,1.40E-05,1,Spitzer
HD116099,-0.38,144.2,G2IV,17,...,...,396,1.10E-04,60,7.90E-05,1.89E-04,1,Spitzer
HD116956,-0.05,21.65,G9V,270,30,4.10E-07,...,...,...,...,4.10E-07,1,Spitzer
HD117043,-0.3,20.88,G6V,11700,76,1.10E-05,...,...,...,...,1.10E-05,1,Spitzer
HD117176$^{p}$,...,18.1,G4V,7600,...,...,499,3.40E-05,45,3.70E-06,3.77E-05,1,Spitzer
HD117214$^{r}$,-0.22,107.35,F6V,17,...,...,499,1.60E-04,109,2.40E-03,2.56E-03,1,Spitzer
HD117376,-1.35,72.32,A1V,307,...,...,142,5.30E-06,54,2.70E-05,3.23E-05,1,Spitzer
HD117484,-1.5,155.47,B9.5V,17,...,...,271,8.20E-05,94,1.60E-04,2.42E-04,1,Spitzer
HD117524,-0.5,136.72,G8V,17,500,2.00E-04,...,...,...,...,2.00E-04,1,Spitzer
HD117665,-1.69,129.58,A1/2V,17,...,...,319,9.70E-05,146,9.30E-05,1.90E-04,1,Spitzer
HD117716,-1.32,67.84,A2V,343,...,...,499,1.70E-05,109,5.60E-06,2.26E-05,1,Spitzer
HD118216,...,46.89,A6,1360,...,...,499,9.40E-05,30,3.40E-07,9.43E-05,1,Spitzer
HD118232,...,55.28,A4V,3,114,2.56E-05,...,...,...,...,2.56E-05,30,Spitzer
HD118379,-0.28,113.03,A3IV/V,16,...,...,390,1.80E-05,109,9.50E-05,1.13E-04,1,Spitzer
HD118588,-1.46,135.04,A1V,17,...,...,292,9.70E-05,133,1.40E-04,2.37E-04,1,Spitzer
HD118972,...,15.69,K0V,400,97,4.50E-05,...,...,...,...,4.50E-05,1,Spitzer
HD119124,-0.5,25.52,F7.7V,45,...,...,472,3.60E-05,60,2.70E-05,6.30E-05,1,Spitzer
HD119511,-0.46,117.45,F3V,17,216,3.40E-05,...,...,...,...,3.40E-05,1,Spitzer
HD119718,-0.63,115.46,F5V,17,...,...,368,1.70E-04,118,2.60E-04,4.30E-04,1,Spitzer
HD120160,-0.45,142.63,F0IV/V,1600,...,...,255,1.60E-05,51,4.70E-05,6.30E-05,1,Spitzer
HD120326$^{r}$,-0.5,113.27,F0V,16,...,...,127,1.10E-03,63,1.40E-04,1.24E-03,1,Spitzer
HD120534,-0.65,84.88,A5V,400,...,...,112,1.80E-04,51,1.20E-04,3.00E-04,1,Spitzer
HD121189,-0.34,128.76,F3V,16,...,...,344,1.70E-04,124,3.30E-04,5.00E-04,1,Spitzer
HD121191$^{gr}$,-1.28,132.29,A5IV/V,16,...,...,555,2.09E-03,118,2.59E-03,4.68E-03,31,Herschel
HD121336,...,139.86,A1V,16,...,...,411,4.50E-05,136,3.20E-05,7.70E-05,1,Spitzer
HD121384,...,40.31,G8V,3000,71,1.93E-04,...,...,...,...,1.93E-04," 7,61 ",IRAS
HD121617$^{gr}$,-0.97,117.89,A1V,16,105,4.80E-03,...,...,...,...,4.80E-03,31,AKARI
HD121812,...,34.29,K2,230,46,1.49E-03,...,...,...,...,1.49E-03,32,IRAS
HD122652,-0.37,39.58,F8,500,...,...,448,1.50E-05,54,7.60E-05,9.10E-05,1,Spitzer
HD122705,-0.16,122.82,A2V,16,...,...,387,6.40E-05,127,1.80E-05,8.20E-05,1,Spitzer
HD122948,-0.24,44.35,G5,46,500,1.50E-04,...,...,...,...,1.50E-04,1,Spitzer
HD123889,-0.46,130.1,F2V,16,...,...,499,3.00E-05,69,3.50E-05,6.50E-05,1,Spitzer
HD123998,-0.32,43.62,A2,250,100,6.03E-06,...,...,...,...,6.03E-06,14,Spitzer
HD124498,...,30.18,K5.5V,100,57,5.30E-05,...,...,...,...,5.30E-05,1,Spitzer
HD124619,-0.5,131.22,F0V,16,...,...,417,1.50E-04,109,4.10E-05,1.91E-04,1,Spitzer
HD124718,-0.07,63.39,G5V,500,62,1.43E-03,...,...,...,...,1.43E-03," 7,61 ",IRAS
HD124988,-0.62,88.43,F2III,1390,500,2.20E-05,...,...,...,...,2.20E-05,1,Spitzer
HD125162$^{r}$,...,30.36,A0V,313,...,...,133,2.00E-05,57,1.30E-05,3.30E-05,1,Spitzer
HD125283,-0.87,69.37,A2V,386,186,4.30E-05,...,...,...,...,4.30E-05,1,Spitzer
HD125451,-0.8,26.11,F5IV,680,70,1.50E-05,...,...,...,...,1.50E-05,1,Spitzer
HD125473,-0.91,79.37,A0IV,300,186,1.70E-05,...,...,...,...,1.70E-05,1,Spitzer
HD125541,-0.4,157.19,A9V,16,...,...,356,1.20E-04,124,2.00E-04,3.20E-04,1,Spitzer
HD126062,-1.49,131.88,A1V,16,...,...,225,7.30E-05,57,2.00E-04,2.73E-04,1,Spitzer
HD126135,-1.48,180.16,B8V,16,...,...,329,4.00E-05,121,1.70E-05,5.70E-05,1,Spitzer
HD126265,-0.34,86.21,G2III,500,80,3.36E-04,...,...,...,...,3.36E-04," 7,61 ",IRAS
HD127726,...,73.64,A7V,954,30,6.40E-07,...,...,...,...,6.40E-07,1,Spitzer
HD127750,-0.95,144.36,A0V,16,...,...,252,4.50E-05,72,1.20E-04,1.65E-04,1,Spitzer
HD127762,-0.49,26.61,A7IV,1000,109,1.20E-05,...,...,...,...,1.20E-05,1,Spitzer
HD127821,-0.79,31.69,F4IV,1020,...,...,265,1.20E-05,42,1.20E-04,1.32E-04,1,Spitzer
HD128165,-0.12,13.23,K3,3000,45,4.10E-05,...,...,...,...,4.10E-05," 10,25 ",Spitzer
HD128167,...,15.76,F4V,1000,40,4.90E-06,...,...,...,...,4.90E-06,7,IRAS
HD128207,...,136.38,B8V,16,...,...,499,7.80E-06,204,3.60E-06,1.14E-05,1,Spitzer
HD128311$^{p}$,-0.09,16.32,K3V,310,...,...,371,4.70E-05,30,1.00E-05,5.70E-05,1,Spitzer
HD129490,-0.42,147.03,F7IV/V,16,...,...,499,9.10E-05,51,7.10E-05,1.62E-04,1,Spitzer
HD129590$^{gr}$,-0.37,136.32,G3V,16,...,...,94,4.90E-03,72,1.60E-04,5.06E-03,1,Spitzer
HD130322,-0.35,31.91,K0V,520,79,3.20E-05,...,...,...,...,3.20E-05,1,Spitzer
HD130819,...,23.94,F3V,1010,30,3.90E-05,...,...,...,...,3.90E-05,1,Spitzer
HD131156,-0.04,6.71,G7V,280,40,2.90E-06,...,...,...,...,2.90E-06,20,Herschel
HD131488$^{gr}$,...,152.24,A1V,16,...,...,570,2.78E-03,94,2.73E-03,5.51E-03,31,Herschel
HD131511,-0.52,11.63,K0.5V,690,40,2.80E-06,...,...,...,...,2.80E-06,35,Herschel
HD131625,...,77.35,A0V,200,...,...,493,2.40E-05,100,4.50E-06,2.85E-05,1,Spitzer
HD131835$^{gr}$,-0.6,129.74,A2IV,16,...,...,216,5.20E-04,78,1.50E-03,2.02E-03,1,Spitzer
HD132238,...,158.41,B7V,16,...,...,329,2.90E-05,143,1.00E-05,3.90E-05,1,Spitzer
HD132254,-0.31,25.16,F8V,3400,70,2.08E-05,...,...,...,...,2.08E-05,36,Spitzer
HD132742,...,107.73,A0V,500,494,1.70E-05,...,...,...,...,1.70E-05,1,Spitzer
HD132950,0.13,29.1,K3V,420,384,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD133075,-0.57,168.32,F3IV,16,...,...,213,3.30E-05,54,8.60E-05,1.19E-04,1,Spitzer
HD133640,...,12.51,G0V,950,23,1.70E-06,...,...,...,...,1.70E-06,20,Herschel
HD133803$^{p}$,-0.54,110.11,F2IV,16,...,...,368,2.10E-04,142,2.70E-04,4.80E-04,1,Spitzer
HD134888,-0.41,112.17,F3/5V,16,...,...,387,1.60E-04,72,6.80E-04,8.40E-04,1,Spitzer
HD135379$^{p}$,...,30.55,A3V,166,...,...,387,2.30E-05,155,3.00E-05,5.30E-05,1,Spitzer
HD135454,-0.1,130.89,B9.5V,16,...,...,417,2.50E-05,106,3.30E-06,2.83E-05,1,Spitzer
HD135502,...,74.81,A2V,200,74,2.97E-05,...,...,...,...,2.97E-05," 7,61 ",IRAS
HD135599,0.07,15.82,K0V,1300,...,...,448,5.80E-05,57,7.20E-05,1.30E-04,1,Spitzer
HD135953,-0.28,127.68,F5V,16,...,...,499,6.20E-05,60,4.80E-04,5.42E-04,1,Spitzer
HD136246,-0.24,114.67,A1V,16,...,...,289,1.80E-05,60,3.10E-05,4.90E-05,1,Spitzer
HD136347A,-0.89,150.54,A0,16,500,1.00E-05,...,...,...,...,1.00E-05,1,Spitzer
HD136482,-0.91,144.31,B8/9V,16,...,...,329,5.30E-05,130,3.10E-05,8.40E-05,1,Spitzer
HD136664,0.19,159.24,B4V,16,454,1.10E-06,...,...,...,...,1.10E-06,1,Spitzer
HD137015,...,296.43,A1/2V,16,...,...,487,3.20E-05,69,6.10E-06,3.81E-05,1,Spitzer
HD137057,...,142.81,F3V,16,...,...,499,4.00E-05,118,3.00E-04,3.40E-04,1,Spitzer
HD137119,-0.4,125.93,A2V,16,...,...,307,1.20E-04,139,5.60E-05,1.76E-04,1,Spitzer
HD138296,-0.4,141.99,F2V,16,500,4.10E-05,...,...,...,...,4.10E-05,1,Spitzer
HD138398,...,292.47,G5/8III,7432,500,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD138749,...,115.07,B6V,200,99,7.85E-06,...,...,...,...,7.85E-06," 7,61 ",IRAS
HD138813$^{gr}$,-1.42,136.6,A0V,11,...,...,194,3.50E-04,94,5.50E-04,9.00E-04,1,Spitzer
HD138923,-1.06,135.14,B8V,16,...,...,359,7.80E-05,176,1.40E-05,9.20E-05,1,Spitzer
HD138965$^{r}$,-1.49,78.6,A1V,20,...,...,167,8.20E-05,57,3.30E-04,4.12E-04,1,Spitzer
HD139006$^{r}$,...,23.01,A1IV,314,...,...,176,7.30E-06,115,1.30E-05,2.03E-05,1,Spitzer
HD139323,0.1,22.44,K3V,5000,28,3.97E-04,...,...,...,...,3.97E-04," 5,61 ",IRAS
HD139590,-0.37,50.7,G3V,5000,64,2.96E-04,...,...,...,...,2.96E-04," 7,61 ",IRAS
HD139664$^{r}$,-0.52,17.4,F3/5V,200,...,...,130,1.80E-05,51,4.90E-05,6.70E-05,1,Spitzer
HD139813,-0.01,21.79,G9V,9500,18,1.12E-04,...,...,...,...,1.12E-04,37,Spitzer
HD140374,-0.07,126.42,G8V,16,500,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
HD140775,...,104.56,A0V,600,112,1.90E-05,...,...,...,...,1.90E-05,1,Spitzer
HD140817,...,141.35,A0V,16,...,...,280,7.30E-05,136,6.70E-05,1.40E-04,1,Spitzer
HD140840,-0.16,144.08,B9,16,...,...,341,4.20E-05,88,1.30E-04,1.72E-04,1,Spitzer
HD141011,-0.22,128.37,F5V,16,...,...,499,1.70E-04,100,9.20E-05,2.62E-04,1,Spitzer
HD141254,-0.33,149.89,F3V,16,...,...,481,1.40E-04,72,6.00E-05,2.00E-04,1,Spitzer
HD141327,...,208.57,B9V,16,...,...,313,5.00E-05,88,1.40E-05,6.40E-05,1,Spitzer
HD141378$^{r}$,-0.59,53.2,A5IV/V,478,...,...,347,1.60E-05,69,5.10E-05,6.70E-05,1,Spitzer
HD141521,-0.19,130.84,G8IV,16,500,1.40E-04,...,...,...,...,1.40E-04,1,Spitzer
HD141569$^{g}$,...,111.61,A2V,5,110,1.12E-02,...,...,...,...,1.12E-02,5,IRAS
HD141943$^{r}$,-0.35,60.14,G2,30,...,...,197,5.70E-05,60,1.10E-04,1.67E-04,1,Spitzer
HD142091$^{pr}$,-0.22,29.99,K1IV,2500,60,5.00E-05,...,...,...,...,5.00E-05,22,Herschel
HD142139,-1.15,69.58,A1IV/V,550,...,...,451,2.50E-05,124,2.10E-05,4.60E-05,1,Spitzer
HD142446$^{r}$,-0.55,135.61,F3V,16,...,...,258,1.50E-04,63,5.20E-04,6.70E-04,1,Spitzer
HD142908,-0.58,42.06,F2IV/V,1430,...,...,167,4.20E-06,66,4.30E-06,8.50E-06,1,Spitzer
HD142926,-1.31,165.49,B9,78,222,8.67E-05,...,...,...,...,8.67E-05,30,Spitzer
HD143538,-0.42,129.99,F0V,16,164,5.20E-05,...,...,...,...,5.20E-05,1,Spitzer
HD143675$^{r}$,-0.58,135.7,A5IV/V,16,...,...,374,1.80E-04,127,4.10E-04,5.90E-04,1,Spitzer
HD143811,-0.35,136.86,F5V,11,100,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
HD143894,...,53.49,A3V,530,...,...,499,7.70E-06,72,1.10E-05,1.87E-05,1,Spitzer
HD143939,...,142.19,B9,16,...,...,426,1.50E-05,152,1.20E-05,2.70E-05,1,Spitzer
HD144587,-0.82,141.35,A9V,11,...,...,393,1.70E-04,152,9.30E-05,2.63E-04,1,Spitzer
HD144713,-1.47,151.48,F3/5V,11,...,...,451,9.20E-05,51,6.30E-05,1.55E-04,1,Spitzer
HD144729,-0.9,161.19,F0V,11,372,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD144981,...,149.12,A0V,11,...,...,350,1.20E-04,118,2.10E-05,1.41E-04,1,Spitzer
HD145229,-0.4,33.78,G0,3730,...,...,142,2.10E-05,48,7.80E-05,9.90E-05,1,Spitzer
HD145263,-0.72,141.92,F2V,10,290,1.00E-03,...,...,...,...,1.00E-03," 3, 60 ",WISE
HD145357A,-0.34,131.06,A5V,16,...,...,313,7.80E-05,97,2.50E-05,1.03E-04,1,Spitzer
HD145554,...,137.03,B9V,11,...,...,319,1.40E-04,109,3.70E-05,1.77E-04,1,Spitzer
HD145560$^{r}$,-0.18,121.23,F5V,16,...,...,112,1.20E-03,63,1.40E-03,2.60E-03,1,Spitzer
HD145631,...,137.4,B9V,11,238,5.40E-05,...,...,...,...,5.40E-05,1,Spitzer
HD145689$^{pg}$,-0.21,54.99,A3V,40,...,...,341,3.80E-05,60,1.10E-05,4.90E-05,1,Spitzer
HD145880,-1,123.44,B9.5V,16,...,...,274,1.60E-04,75,2.90E-04,4.50E-04,1,Spitzer
HD145964$^{g}$,-1.29,112.97,B9V,11,...,...,499,8.90E-06,75,6.10E-06,1.50E-05,1,Spitzer
HD145972,-0.3,126.3,F0V,16,...,...,347,1.80E-04,118,1.00E-04,2.80E-04,1,Spitzer
HD146181$^{r}$,-0.49,127.52,F6V,16,...,...,200,1.70E-04,81,1.90E-03,2.07E-03,1,Spitzer
HD146606,-1,134.65,A0V,11,...,...,344,7.60E-05,130,4.40E-05,1.20E-04,1,Spitzer
HD146624,-1.24,41.29,A1V,12,155,1.40E-05,...,...,...,...,1.40E-05,1,Spitzer
HD146897$^{gr}$,-0.76,132.19,F2/3V,11,...,...,304,3.00E-04,94,5.30E-03,5.60E-03,1,Spitzer
HD147010,...,130.73,B9II/III,11,...,...,185,7.30E-05,72,5.90E-05,1.32E-04,1,Spitzer
HD147137,-0.74,143.47,A9V,11,...,...,237,5.20E-05,115,1.10E-04,1.62E-04,1,Spitzer
HD147594,-0.15,135.19,G3IV,11,...,...,356,1.80E-04,78,1.10E-04,2.90E-04,1,Spitzer
HD148657,-0.99,179.72,A0V,16,...,...,417,1.10E-04,109,2.50E-04,3.60E-04,1,Spitzer
HD149630,-0.61,92.11,B9V,700,80,2.57E-05,...,...,...,...,2.57E-05," 7,61 ",IRAS
HD150378,...,101.34,B9V,200,...,...,499,1.10E-05,106,2.20E-05,3.30E-05,1,Spitzer
HD150682,-0.58,43.14,F3V,1700,61,9.40E-06,...,...,...,...,9.40E-06,1,Spitzer
HD150697,...,111.78,F3V,1290,...,...,499,9.10E-05,97,1.20E-04,2.11E-04,1,Spitzer
HD150706$^{p}$,-0.3,28.18,G0,240,54,3.30E-05,...,...,...,...,3.30E-05,1,Spitzer
HD151044,-0.44,29.3,F8V,3890,...,...,499,7.80E-05,60,5.40E-05,1.32E-04,1,Spitzer
HD151109,-1.17,174.48,B9IV/V,16,...,...,237,5.50E-05,91,5.80E-05,1.13E-04,1,Spitzer
HD151376,-0.45,118.44,F2/3V,11,...,...,292,8.70E-05,100,1.40E-04,2.27E-04,1,Spitzer
HD151613,...,26.79,F2V,1790,82,4.50E-08,...,...,...,...,4.50E-08,1,Spitzer
HD151900,-0.9,55.85,F3V,2270,476,2.60E-05,...,...,...,...,2.60E-05,1,Spitzer
HD152598,-0.59,29.76,F0V,270,...,...,499,5.00E-05,130,1.90E-05,6.90E-05,1,Spitzer
HD153053$^{r}$,-0.56,52.68,A5IV/V,1025,...,...,84,3.50E-05,45,1.30E-05,4.80E-05,1,Spitzer
HD154145,...,104.99,A3V,300,52,2.14E-04,...,...,...,...,2.14E-04," 7,61 ",IRAS
HD154577,-0.34,13.73,K2.5V,4800,67,1.30E-05,...,...,...,...,1.30E-05,1,Spitzer
HD156623$^{gr}$,...,108.33,A0V,10,212,5.50E-03,...,...,...,...,5.50E-03,40,WISE
HD157728,-1.41,42.72,A7V,534,...,...,365,4.20E-05,100,2.50E-04,2.92E-04,1,Spitzer
HD158352$^{g}$,-0.97,63.81,A8V,890,...,...,146,9.30E-06,54,3.30E-05,4.23E-05,1,Spitzer
HD158460,-0.82,98.16,A1V,361,...,...,402,2.80E-05,81,3.80E-06,3.18E-05,1,Spitzer
HD158633,-0.05,12.79,K0,5900,61,2.40E-05,...,...,...,...,2.40E-05,1,Spitzer
HD159082,-0.91,147.9,B9.5V,197,...,...,499,2.70E-05,94,3.00E-05,5.70E-05,1,Spitzer
HD159139,-1.34,83.38,A1V,645,...,...,478,2.70E-05,69,8.40E-05,1.11E-04,1,Spitzer
HD159170,-0.28,46.81,A5V,659,...,...,499,3.80E-05,139,1.90E-05,5.70E-05,1,Spitzer
HD159492$^{r}$,-0.59,41.01,A5IV/V,562,...,...,173,8.90E-05,54,2.00E-05,1.09E-04,1,Spitzer
HD160032,-0.82,20.96,F4V,2400,70,3.20E-05,...,...,...,...,3.20E-05,36,Spitzer
HD161868$^{r}$,...,31.52,A1V,184,...,...,213,1.40E-05,78,4.90E-05,6.30E-05,1,Spitzer
HD161897,-0.21,29.98,K0,2000,22,1.74E-04,...,...,...,...,1.74E-04,37,Spitzer
HD162917,-0.55,31,F4IV/V,1210,...,...,499,2.30E-05,63,4.20E-05,6.50E-05,1,Spitzer
HD164249$^{p}$,-0.64,49.3,F6V,12,...,...,100,2.50E-04,57,4.70E-04,7.20E-04,1,Spitzer
HD165459,-0.14,91.07,A1V,5,85,4.66E-05,...,...,...,...,4.66E-05,24,Spitzer
HD165908$^{r}$,-1.14,15.77,F6V,7200,45,1.10E-05,...,...,...,...,1.10E-05," 20,25 ",Herschel
HD166191,-0.18,101.18,F3/5V,10,760,6.00E-02,...,...,...,...,6.00E-02,3,WISE
HD168746$^{p}$,0.04,41.69,G5V,10780,...,...,408,4.90E-04,39,2.80E-03,3.29E-03,1,Spitzer
HD169022,...,43.94,B9IV,132,...,...,499,7.20E-06,133,1.70E-06,8.90E-06,1,Spitzer
HD169666,-0.61,52.84,F2V,1640,...,...,484,7.90E-05,164,1.40E-04,2.19E-04,1,Spitzer
HD170773$^{r}$,-0.43,36.93,F5V,970,...,...,499,3.90E-05,42,2.80E-04,3.19E-04,1,Spitzer
HD172167$^{r}$,...,7.68,A0V,220,76,1.77E-05,...,...,...,...,1.77E-05," 7,61 ",IRAS
HD172555$^{gr}$,...,28.79,A7V,12,269,6.18E-04,...,...,...,...,6.18E-04," 7,61 ",IRAS
HD173608,-0.64,48.89,A7V,739,30,1.60E-06,...,...,...,...,1.60E-06,1,Spitzer
HD173667,-0.58,19.35,F5.5IV/V,3400,30,1.80E-06,...,...,...,...,1.80E-06,22,Herschel
