Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD145958,0.02,23.58,G9V,...,...,...,...,...,...,...,...,8,Spitzer
HD146055,...,154.12,B9V,...,...,...,...,...,...,...,...,19,AKARI
HD147084,-1.35,269.54,A5II,...,...,...,...,...,...,...,...,39,IRAS
HD147196,...,138.03,B6.5V,...,210,9.36E-04,...,...,...,...,9.36E-04,11,WISE
HD147558,-0.08,122.68,F0V,...,180,4.93E-04,...,...,...,...,4.93E-04,11,WISE
HD149914,...,154.37,B9.5IV,...,78,1.01E-03,...,...,...,...,1.01E-03,12,AKARI
HD150193,-1.49,150.8,B9.5V,...,...,...,...,...,...,...,...,18,IRAS
HD150397,-1.01,192.26,G0,...,200,7.54E-04,...,...,...,...,7.54E-04,11,WISE
HD150638,-0.79,153.04,B8V,...,87,5.37E-04,...,...,...,...,5.37E-04,12,AKARI
HD152614,-0.96,75.19,B8V,...,...,...,...,...,...,...,...,19,AKARI
HD153026,...,19.11,K4.5V,...,...,...,...,...,...,...,...,8,Spitzer
HD153597,-1.06,15.26,F8V,1700,...,...,...,...,...,...,...,29,Spitzer
HD153808,-0.1,47.53,A0V,215,...,...,...,...,...,...,...,17,Spitzer
HD153968,...,535.5,F0V,...,...,...,...,...,...,...,...,18,IRAS
HD154002,...,294.07,B9,...,71,1.74E-03,...,...,...,...,1.74E-03,12,AKARI
HD155401,-0.97,140.42,B9V,...,...,...,...,...,...,...,...,19,AKARI
HD155826,...,32.89,G0V,...,...,...,...,...,...,...,...,26,IRAS
HD157587$^{r}$,-0.33,99.87,F5V,...,80,3.54E-03,...,...,...,...,3.54E-03,11,WISE
HD158233,-0.18,18.39,K5V,300,...,...,...,...,...,...,...,8,Spitzer
HD158643$^{g}$,...,124.38,A0V,1,...,2.80E-02,...,...,...,...,2.80E-02,33,IRAS
HD159525,...,228.12,A1IV/V,...,62,8.70E-04,...,...,...,...,8.70E-04,12,AKARI
HD160305,-0.35,65.8,F8,...,43,1.20E-04,...,...,...,...,1.20E-04,15,Herschel
HD160682,-0.27,87.15,G5V,...,125,1.89E-03,...,...,...,...,1.89E-03,11,WISE
HD160691$^{p}$,-0.02,15.6,G3IV/V,6200,...,...,...,...,...,...,...,21,Spitzer
HD160959,-0.76,141.76,F0V,...,195,9.00E-04,...,...,...,...,9.00E-04,11,WISE
HD161840,...,170.65,B8Ib/II,...,...,...,...,...,...,...,...,19,AKARI
HD163422,...,234.81,B9,...,74,6.04E-04,...,...,...,...,6.04E-04,12,AKARI
HD164029,...,766.52,G6V,...,...,...,484,3.80E-03,499,7.80E-20,3.80E-03,1,Spitzer
HD164330,0.03,75.76,K0,...,40,1.01E-03,...,...,...,...,1.01E-03,11,WISE
HD165014,...,972.29,F2V,...,...,...,...,...,...,...,...,19,AKARI
HD165088,-0.83,205.4,F5V,...,...,...,...,...,...,...,...,18,IRAS
HD166014,...,103.63,B9.5III,100,...,...,...,...,...,...,...,17,Spitzer
HD166841$^{g}$,...,256.49,B8/9V,...,...,1.10E-04,...,...,...,...,1.10E-04,18,IRAS
HD167905,...,1405.88,F3V,...,...,...,...,...,...,...,...,19,AKARI
HD168161,-1.5,...,F6V,...,275,7.00E-06,...,...,...,...,7.00E-06,11,WISE
HD169142$^{p}$,-1.88,114.87,F1V,...,...,8.80E-02,...,...,...,...,8.80E-02,33,IRAS
HD170116,-0.24,189.06,A0/1V,...,67,3.13E-03,...,...,...,...,3.13E-03,12,AKARI
HD172776,...,780.94,B9V,...,...,...,...,...,...,...,...,18,IRAS
HD172958,-0.65,235.72,B8V,...,...,...,...,...,...,...,...,26,IRAS
HD173117,...,342.84,B8III,...,...,...,...,...,...,...,...,26,IRAS
HD173739,-0.1,3.52,M3V,...,...,...,...,...,...,...,...,25,Spitzer
HD175427,...,194.93,A0IV,...,72,2.10E-03,...,...,...,...,2.10E-03,12,AKARI
HD175623,-0.28,318.96,B8II/III,...,75,1.68E-03,...,...,...,...,1.68E-03,12,AKARI
